State,Population,"Violent Crime Rate per 100000",Property Crime Rate per 100000 ,Median Income,Poverty Rate per 100000
ALABAMA,4903185,510.80,2674.40,56901.00,16.8
ALASKA,731545,867.10,2910.80,79373.00,10.9
ARIZONA,7278717,455.30,2440.50,71556.00,14
ARKANSAS,3017804,584.60,2858.00,55220.00,17.2
CALIFORNIA,39512223,441.20,2331.20,79080.00,12.8
COLORADO,5758736,381.00,2590.70,73404.00,9.6
CONNECTICUT,3565287,183.60,1426.60,88380.00,10.4
DELAWARE,973764,422.60,2252.20,75120.00,12.5
DISTRICT OF COLUMBIA,705749,1049.00,4367.10,94273.00,16.2
FLORIDA,21477737,378.40,2145.70,59097.00,13.6
GEORGIA,10617423,340.70,2375.80,57335.00,14.3
HAWAII,1415872,285.50,2841.20,89105.00,8.8
IDAHO,1787065,223.80,1219.50,66812.00,11.8
ILLINOIS,12671821,406.90,1846.50,75328.00,12.1
INDIANA,6732219,370.80,1971.00,67526.00,13.1
IOWA,3155070,266.60,1733.70,66879.00,11.2
KANSAS,2913314,410.80,2314.50,74065.00,12
KENTUCKY,4467673,217.10,1897.40,56357.00,16.9
LOUISIANA,4648794,549.30,3162.00,52352.00,18.6
MAINE,1344212,115.20,1245.60,67377.00,11.6
MARYLAND,6045680,454.10,1950.20,96765.00,9
MASSACHUSETTS,6892503,327.60,1179.80,88802.00,10
MICHIGAN,9986857,437.40,1585.00,64920.00,14.1
MINNESOTA,5639632,236.40,2078.80,82443.00,9.6
MISSISSIPPI,2976149,277.90,2375.80,45346.00,19.7
MISSOURI,6137428,495.00,2638.70,61353.00,13.2
MONTANA,1068778,404.90,2193.20,60946.00,13
NEBRASKA,1934408,300.90,2039.30,73983.00,11
NEVADA,3080156,493.80,2322.10,71791.00,12.9
NEW HAMPSHIRE,1359711,152.50,1209.20,87984.00,7.6
NEW JERSEY,8882190,206.90,1335.70,88821.00,9.5
NEW MEXICO,2096829,832.20,3112.70,53776.00,19.5
NEW YORK,19453561,358.60,1373.30,72752.00,13.6
NORTH CAROLINA,10488084,371.80,2357.30,61922.00,14
NORTH DAKOTA,762062,284.60,1977.00,70905.00,10.7
OHIO,11689100,293.20,2055.70,65470.00,13.9
OKLAHOMA,3956971,431.80,2845.30,60138.00,15.6
OREGON,4217737,284.40,2730.60,75342.00,12.6
PENNSYLVANIA,12801989,306.40,1403.40,71463.00,12.2
RHODE ISLAND,1059361,221.10,1534.80,71027.00,12.9
SOUTH CAROLINA,5148714,511.30,2940.30,62803.00,15.3
SOUTH DAKOTA,884659,399.00,1771.00,65057.00,13.1
TENNESSEE,6829174,595.20,2652.60,57334.00,15.3
TEXAS,28995881,418.90,2390.70,68286.00,14.9
UTAH,3205958,235.60,2169.30,85578.00,9
VERMONT,623989,202.20,1424.40,75233.00,11
VIRGINIA,8535519,208.00,1642.70,82328.00,10.7
WASHINGTON,7614893,293.90,2681.90,83483.00,10.3
WEST VIRGINIA,1792147,316.60,1583.40,54376.00,17.8
WISCONSIN,5822434,293.20,1471.40,68196.00,11
WYOMING,578759,217.40,1571.10,65947.00,11.1
